time,steps
2024-06-13 14:10:15,46
2024-06-13 14:40:15,76
2024-06-13 15:10:15,63
2024-06-13 15:40:15,29
2024-06-13 16:10:15,85
2024-06-13 16:40:15,74
2024-06-13 17:10:15,32
2024-06-13 17:40:15,93
2024-06-13 18:10:15,98
2024-06-13 18:40:15,46
2024-06-13 19:10:15,17
2024-06-13 19:40:15,65
2024-06-13 20:10:15,30
2024-06-13 20:40:15,61
2024-06-13 21:10:15,35
2024-06-13 21:40:15,98
2024-06-13 22:10:15,93
2024-06-13 22:40:15,80
2024-06-13 23:10:15,5
2024-06-13 23:40:15,79
2024-06-14 00:10:15,84
2024-06-14 00:40:15,72
2024-06-14 01:10:15,32
2024-06-14 01:40:15,89
2024-06-14 02:10:15,68
2024-06-14 02:40:15,5
2024-06-14 03:10:15,31
2024-06-14 03:40:15,44
2024-06-14 04:10:15,20
2024-06-14 04:40:15,82
2024-06-14 05:10:15,78
2024-06-14 05:40:15,10
2024-06-14 06:10:15,26
2024-06-14 06:40:15,12
2024-06-14 07:10:15,26
2024-06-14 07:40:15,78
2024-06-14 08:10:15,26
2024-06-14 08:40:15,87
2024-06-14 09:10:15,42
2024-06-14 09:40:15,99
2024-06-14 10:10:15,30
2024-06-14 10:40:15,74
2024-06-14 11:10:15,7
2024-06-14 11:40:15,97
2024-06-14 12:10:15,13
2024-06-14 12:40:15,71
2024-06-14 13:10:15,51
2024-06-14 13:40:15,36
2024-06-14 14:10:15,47
2024-06-14 14:40:15,12
2024-06-14 15:10:15,22
2024-06-14 15:40:15,11
2024-06-14 16:10:15,4
2024-06-14 16:40:15,23
2024-06-14 17:10:15,69
2024-06-14 17:40:15,35
2024-06-14 18:10:15,100
2024-06-14 18:40:15,18
2024-06-14 19:10:15,84
2024-06-14 19:40:15,74
2024-06-14 20:10:15,55
2024-06-14 20:40:15,52
2024-06-14 21:10:15,27
2024-06-14 21:40:15,31
2024-06-14 22:10:15,89
2024-06-14 22:40:15,93
2024-06-14 23:10:15,4
2024-06-14 23:40:15,54
2024-06-15 00:10:15,32
2024-06-15 00:40:15,30
2024-06-15 01:10:15,4
2024-06-15 01:40:15,81
2024-06-15 02:10:15,59
2024-06-15 02:40:15,0
2024-06-15 03:10:15,16
2024-06-15 03:40:15,84
2024-06-15 04:10:15,47
2024-06-15 04:40:15,72
2024-06-15 05:10:15,90
2024-06-15 05:40:15,97
2024-06-15 06:10:15,39
2024-06-15 06:40:15,83
2024-06-15 07:10:15,81
2024-06-15 07:40:15,18
2024-06-15 08:10:15,99
2024-06-15 08:40:15,83
2024-06-15 09:10:15,35
2024-06-15 09:40:15,96
2024-06-15 10:10:15,55
2024-06-15 10:40:15,68
2024-06-15 11:10:15,66
2024-06-15 11:40:15,96
2024-06-15 12:10:15,46
2024-06-15 12:40:15,75
2024-06-15 13:10:15,92
2024-06-15 13:40:15,18
2024-06-15 14:10:15,29
2024-06-15 14:40:15,94
2024-06-15 15:10:15,95
2024-06-15 15:40:15,84
2024-06-15 16:10:15,88
2024-06-15 16:40:15,24
2024-06-15 17:10:15,32
2024-06-15 17:40:15,62
2024-06-15 18:10:15,92
2024-06-15 18:40:15,49
2024-06-15 19:10:15,78
2024-06-15 19:40:15,31
2024-06-15 20:10:15,32
2024-06-15 20:40:15,49
2024-06-15 21:10:15,95
2024-06-15 21:40:15,68
2024-06-15 22:10:15,80
2024-06-15 22:40:15,77
2024-06-15 23:10:15,56
2024-06-15 23:40:15,69
2024-06-16 00:10:15,56
2024-06-16 00:40:15,68
2024-06-16 01:10:15,79
2024-06-16 01:40:15,15
2024-06-16 02:10:15,31
2024-06-16 02:40:15,69
2024-06-16 03:10:15,63
2024-06-16 03:40:15,100
2024-06-16 04:10:15,19
2024-06-16 04:40:15,29
2024-06-16 05:10:15,40
2024-06-16 05:40:15,37
2024-06-16 06:10:15,93
2024-06-16 06:40:15,99
2024-06-16 07:10:15,16
2024-06-16 07:40:15,74
2024-06-16 08:10:15,96
2024-06-16 08:40:15,85
2024-06-16 09:10:15,13
2024-06-16 09:40:15,15
2024-06-16 10:10:15,21
2024-06-16 10:40:15,20
2024-06-16 11:10:15,79
2024-06-16 11:40:15,17
2024-06-16 12:10:15,34
2024-06-16 12:40:15,67
2024-06-16 13:10:15,1
2024-06-16 13:40:15,46
2024-06-16 14:10:15,58
2024-06-16 14:40:15,64
2024-06-16 15:10:15,62
2024-06-16 15:40:15,2
2024-06-16 16:10:15,46
2024-06-16 16:40:15,34
2024-06-16 17:10:15,88
2024-06-16 17:40:15,75
2024-06-16 18:10:15,56
2024-06-16 18:40:15,37
2024-06-16 19:10:15,38
2024-06-16 19:40:15,38
2024-06-16 20:10:15,2
2024-06-16 20:40:15,65
2024-06-16 21:10:15,84
2024-06-16 21:40:15,36
2024-06-16 22:10:15,70
2024-06-16 22:40:15,29
2024-06-16 23:10:15,30
2024-06-16 23:40:15,6
2024-06-17 00:10:15,32
2024-06-17 00:40:15,25
2024-06-17 01:10:15,87
2024-06-17 01:40:15,18
2024-06-17 02:10:15,62
2024-06-17 02:40:15,81
2024-06-17 03:10:15,42
2024-06-17 03:40:15,51
2024-06-17 04:10:15,42
2024-06-17 04:40:15,61
2024-06-17 05:10:15,64
2024-06-17 05:40:15,43
2024-06-17 06:10:15,81
2024-06-17 06:40:15,49
2024-06-17 07:10:15,50
2024-06-17 07:40:15,64
2024-06-17 08:10:15,65
2024-06-17 08:40:15,43
2024-06-17 09:10:15,28
2024-06-17 09:40:15,99
2024-06-17 10:10:15,8
2024-06-17 10:40:15,50
2024-06-17 11:10:15,33
2024-06-17 11:40:15,50
2024-06-17 12:10:15,63
2024-06-17 12:40:15,8
2024-06-17 13:10:15,19
2024-06-17 13:40:15,45
2024-06-17 14:10:15,90
2024-06-17 14:40:15,99
2024-06-17 15:10:15,53
2024-06-17 15:40:15,69
2024-06-17 16:10:15,22
2024-06-17 16:40:15,88
2024-06-17 17:10:15,69
2024-06-17 17:40:15,83
2024-06-17 18:10:15,13
2024-06-17 18:40:15,0
2024-06-17 19:10:15,45
2024-06-17 19:40:15,46
2024-06-17 20:10:15,85
2024-06-17 20:40:15,42
2024-06-17 21:10:15,42
2024-06-17 21:40:15,37
2024-06-17 22:10:15,14
2024-06-17 22:40:15,54
2024-06-17 23:10:15,80
2024-06-17 23:40:15,62
2024-06-18 00:10:15,70
2024-06-18 00:40:15,88
2024-06-18 01:10:15,3
2024-06-18 01:40:15,59
2024-06-18 02:10:15,84
2024-06-18 02:40:15,29
2024-06-18 03:10:15,98
2024-06-18 03:40:15,97
2024-06-18 04:10:15,1
2024-06-18 04:40:15,26
2024-06-18 05:10:15,97
2024-06-18 05:40:15,96
2024-06-18 06:10:15,100
2024-06-18 06:40:15,5
2024-06-18 07:10:15,67
2024-06-18 07:40:15,86
2024-06-18 08:10:15,5
2024-06-18 08:40:15,82
2024-06-18 09:10:15,84
2024-06-18 09:40:15,57
2024-06-18 10:10:15,4
2024-06-18 10:40:15,74
2024-06-18 11:10:15,90
2024-06-18 11:40:15,78
2024-06-18 12:10:15,49
2024-06-18 12:40:15,21
2024-06-18 13:10:15,74
2024-06-18 13:40:15,24
2024-06-18 14:10:15,31
2024-06-18 14:40:15,69
2024-06-18 15:10:15,84
2024-06-18 15:40:15,50
2024-06-18 16:10:15,33
2024-06-18 16:40:15,91
2024-06-18 17:10:15,30
2024-06-18 17:40:15,1
2024-06-18 18:10:15,64
2024-06-18 18:40:15,8
2024-06-18 19:10:15,2
2024-06-18 19:40:15,44
2024-06-18 20:10:15,73
2024-06-18 20:40:15,26
2024-06-18 21:10:15,25
2024-06-18 21:40:15,4
2024-06-18 22:10:15,42
2024-06-18 22:40:15,68
2024-06-18 23:10:15,70
2024-06-18 23:40:15,6
2024-06-19 00:10:15,81
2024-06-19 00:40:15,84
2024-06-19 01:10:15,49
2024-06-19 01:40:15,36
2024-06-19 02:10:15,29
2024-06-19 02:40:15,91
2024-06-19 03:10:15,95
2024-06-19 03:40:15,79
2024-06-19 04:10:15,90
2024-06-19 04:40:15,33
2024-06-19 05:10:15,43
2024-06-19 05:40:15,86
2024-06-19 06:10:15,19
2024-06-19 06:40:15,85
2024-06-19 07:10:15,41
2024-06-19 07:40:15,50
2024-06-19 08:10:15,29
2024-06-19 08:40:15,84
2024-06-19 09:10:15,90
2024-06-19 09:40:15,12
2024-06-19 10:10:15,5
2024-06-19 10:40:15,75
2024-06-19 11:10:15,30
2024-06-19 11:40:15,35
2024-06-19 12:10:15,24
2024-06-19 12:40:15,31
2024-06-19 13:10:15,78
2024-06-19 13:40:15,50
2024-06-19 14:10:15,30
2024-06-19 14:40:15,0
2024-06-19 15:10:15,24
2024-06-19 15:40:15,56
2024-06-19 16:10:15,71
2024-06-19 16:40:15,16
2024-06-19 17:10:15,75
2024-06-19 17:40:15,82
2024-06-19 18:10:15,79
2024-06-19 18:40:15,76
2024-06-19 19:10:15,43
2024-06-19 19:40:15,49
2024-06-19 20:10:15,46
2024-06-19 20:40:15,81
2024-06-19 21:10:15,65
2024-06-19 21:40:15,26
2024-06-19 22:10:15,33
2024-06-19 22:40:15,74
2024-06-19 23:10:15,24
2024-06-19 23:40:15,69
2024-06-20 00:10:15,55
2024-06-20 00:40:15,55
2024-06-20 01:10:15,25
2024-06-20 01:40:15,44
2024-06-20 02:10:15,20
2024-06-20 02:40:15,21
2024-06-20 03:10:15,79
2024-06-20 03:40:15,87
2024-06-20 04:10:15,5
2024-06-20 04:40:15,39
2024-06-20 05:10:15,56
2024-06-20 05:40:15,91
2024-06-20 06:10:15,85
2024-06-20 06:40:15,54
2024-06-20 07:10:15,70
2024-06-20 07:40:15,83
2024-06-20 08:10:15,33
2024-06-20 08:40:15,57
2024-06-20 09:10:15,9
2024-06-20 09:40:15,16
2024-06-20 10:10:15,77
2024-06-20 10:40:15,81
2024-06-20 11:10:15,26
2024-06-20 11:40:15,94
2024-06-20 12:10:15,25
2024-06-20 12:40:15,0
2024-06-20 13:10:15,26
2024-06-20 13:40:15,67
2024-06-20 14:10:15,69
2024-06-20 14:40:15,39
2024-06-20 15:10:15,100
2024-06-20 15:40:15,4
2024-06-20 16:10:15,15
2024-06-20 16:40:15,50
2024-06-20 17:10:15,18
2024-06-20 17:40:15,53
2024-06-20 18:10:15,25
2024-06-20 18:40:15,84
2024-06-20 19:10:15,44
2024-06-20 19:40:15,26
2024-06-20 20:10:15,12
2024-06-20 20:40:15,42
2024-06-20 21:10:15,61
2024-06-20 21:40:15,96
2024-06-20 22:10:15,35
2024-06-20 22:40:15,94
2024-06-20 23:10:15,49
2024-06-20 23:40:15,96
2024-06-21 00:10:15,43
2024-06-21 00:40:15,43
2024-06-21 01:10:15,28
2024-06-21 01:40:15,28
2024-06-21 02:10:15,91
2024-06-21 02:40:15,94
2024-06-21 03:10:15,76
2024-06-21 03:40:15,78
2024-06-21 04:10:15,4
2024-06-21 04:40:15,76
2024-06-21 05:10:15,63
2024-06-21 05:40:15,95
2024-06-21 06:10:15,98
2024-06-21 06:40:15,70
2024-06-21 07:10:15,83
2024-06-21 07:40:15,80
2024-06-21 08:10:15,20
2024-06-21 08:40:15,55
2024-06-21 09:10:15,84
2024-06-21 09:40:15,62
2024-06-21 10:10:15,71
2024-06-21 10:40:15,64
2024-06-21 11:10:15,9
2024-06-21 11:40:15,78
2024-06-21 12:10:15,41
2024-06-21 12:40:15,44
2024-06-21 13:10:15,28
2024-06-21 13:40:15,23
2024-06-21 14:10:15,8
2024-06-21 14:40:15,100
2024-06-21 15:10:15,51
2024-06-21 15:40:15,52
2024-06-21 16:10:15,56
2024-06-21 16:40:15,66
2024-06-21 17:10:15,24
2024-06-21 17:40:15,11
2024-06-21 18:10:15,22
2024-06-21 18:40:15,96
2024-06-21 19:10:15,65
2024-06-21 19:40:15,78
2024-06-21 20:10:15,73
2024-06-21 20:40:15,79
2024-06-21 21:10:15,61
2024-06-21 21:40:15,44
2024-06-21 22:10:15,60
2024-06-21 22:40:15,56
2024-06-21 23:10:15,18
2024-06-21 23:40:15,9
2024-06-22 00:10:15,73
2024-06-22 00:40:15,91
2024-06-22 01:10:15,46
2024-06-22 01:40:15,56
2024-06-22 02:10:15,44
2024-06-22 02:40:15,24
2024-06-22 03:10:15,34
2024-06-22 03:40:15,9
2024-06-22 04:10:15,75
2024-06-22 04:40:15,45
2024-06-22 05:10:15,39
2024-06-22 05:40:15,34
2024-06-22 06:10:15,62
2024-06-22 06:40:15,94
2024-06-22 07:10:15,64
2024-06-22 07:40:15,22
2024-06-22 08:10:15,4
2024-06-22 08:40:15,35
2024-06-22 09:10:15,88
2024-06-22 09:40:15,46
2024-06-22 10:10:15,87
2024-06-22 10:40:15,92
2024-06-22 11:10:15,37
2024-06-22 11:40:15,23
2024-06-22 12:10:15,78
2024-06-22 12:40:15,42
2024-06-22 13:10:15,30
2024-06-22 13:40:15,77
2024-06-22 14:10:15,10
2024-06-22 14:40:15,17
2024-06-22 15:10:15,45
2024-06-22 15:40:15,9
2024-06-22 16:10:15,18
2024-06-22 16:40:15,26
2024-06-22 17:10:15,76
2024-06-22 17:40:15,43
2024-06-22 18:10:15,2
2024-06-22 18:40:15,69
2024-06-22 19:10:15,13
2024-06-22 19:40:15,75
2024-06-22 20:10:15,16
2024-06-22 20:40:15,55
2024-06-22 21:10:15,34
2024-06-22 21:40:15,19
2024-06-22 22:10:15,28
2024-06-22 22:40:15,4
2024-06-22 23:10:15,58
2024-06-22 23:40:15,94
2024-06-23 00:10:15,46
2024-06-23 00:40:15,84
2024-06-23 01:10:15,98
2024-06-23 01:40:15,2
2024-06-23 02:10:15,23
2024-06-23 02:40:15,53
2024-06-23 03:10:15,68
2024-06-23 03:40:15,72
2024-06-23 04:10:15,27
2024-06-23 04:40:15,17
2024-06-23 05:10:15,76
2024-06-23 05:40:15,15
2024-06-23 06:10:15,49
2024-06-23 06:40:15,30
2024-06-23 07:10:15,67
2024-06-23 07:40:15,28
2024-06-23 08:10:15,55
2024-06-23 08:40:15,16
2024-06-23 09:10:15,58
2024-06-23 09:40:15,11
2024-06-23 10:10:15,20
2024-06-23 10:40:15,85
2024-06-23 11:10:15,81
2024-06-23 11:40:15,71
2024-06-23 12:10:15,83
2024-06-23 12:40:15,4
2024-06-23 13:10:15,93
2024-06-23 13:40:15,98
2024-06-23 14:10:15,9
2024-06-23 14:40:15,20
2024-06-23 15:10:15,54
2024-06-23 15:40:15,81
2024-06-23 16:10:15,46
2024-06-23 16:40:15,45
2024-06-23 17:10:15,50
2024-06-23 17:40:15,65
2024-06-23 18:10:15,34
2024-06-23 18:40:15,61
2024-06-23 19:10:15,48
2024-06-23 19:40:15,82
2024-06-23 20:10:15,29
2024-06-23 20:40:15,37
2024-06-23 21:10:15,50
2024-06-23 21:40:15,6
2024-06-23 22:10:15,2
2024-06-23 22:40:15,63
2024-06-23 23:10:15,4
2024-06-23 23:40:15,64
2024-06-24 00:10:15,10
2024-06-24 00:40:15,49
2024-06-24 01:10:15,96
2024-06-24 01:40:15,28
2024-06-24 02:10:15,38
2024-06-24 02:40:15,86
2024-06-24 03:10:15,4
2024-06-24 03:40:15,76
2024-06-24 04:10:15,21
2024-06-24 04:40:15,46
2024-06-24 05:10:15,53
2024-06-24 05:40:15,1
2024-06-24 06:10:15,49
2024-06-24 06:40:15,35
2024-06-24 07:10:15,27
2024-06-24 07:40:15,61
2024-06-24 08:10:15,36
2024-06-24 08:40:15,48
2024-06-24 09:10:15,3
2024-06-24 09:40:15,76
2024-06-24 10:10:15,71
2024-06-24 10:40:15,92
2024-06-24 11:10:15,69
2024-06-24 11:40:15,97
2024-06-24 12:10:15,28
2024-06-24 12:40:15,99
2024-06-24 13:10:15,34
2024-06-24 13:40:15,5
2024-06-24 14:10:15,29
2024-06-24 14:40:15,82
2024-06-24 15:10:15,48
2024-06-24 15:40:15,35
2024-06-24 16:10:15,62
2024-06-24 16:40:15,55
2024-06-24 17:10:15,47
2024-06-24 17:40:15,62
2024-06-24 18:10:15,17
2024-06-24 18:40:15,5
2024-06-24 19:10:15,89
2024-06-24 19:40:15,23
2024-06-24 20:10:15,66
2024-06-24 20:40:15,75
2024-06-24 21:10:15,80
2024-06-24 21:40:15,69
2024-06-24 22:10:15,100
2024-06-24 22:40:15,88
2024-06-24 23:10:15,92
2024-06-24 23:40:15,30
2024-06-25 00:10:15,22
2024-06-25 00:40:15,24
2024-06-25 01:10:15,63
2024-06-25 01:40:15,44
2024-06-25 02:10:15,62
2024-06-25 02:40:15,73
2024-06-25 03:10:15,44
2024-06-25 03:40:15,47
2024-06-25 04:10:15,82
2024-06-25 04:40:15,26
2024-06-25 05:10:15,31
2024-06-25 05:40:15,58
2024-06-25 06:10:15,15
2024-06-25 06:40:15,24
2024-06-25 07:10:15,86
2024-06-25 07:40:15,100
2024-06-25 08:10:15,91
2024-06-25 08:40:15,61
2024-06-25 09:10:15,77
2024-06-25 09:40:15,93
2024-06-25 10:10:15,45
2024-06-25 10:40:15,55
2024-06-25 11:10:15,9
2024-06-25 11:40:15,35
2024-06-25 12:10:15,49
2024-06-25 12:40:15,76
2024-06-25 13:10:15,53
2024-06-25 13:40:15,65
2024-06-25 14:10:15,87
2024-06-25 14:40:15,19
2024-06-25 15:10:15,68
2024-06-25 15:40:15,85
2024-06-25 16:10:15,41
2024-06-25 16:40:15,88
2024-06-25 17:10:15,42
2024-06-25 17:40:15,45
2024-06-25 18:10:15,18
2024-06-25 18:40:15,32
2024-06-25 19:10:15,13
2024-06-25 19:40:15,70
2024-06-25 20:10:15,68
2024-06-25 20:40:15,81
2024-06-25 21:10:15,28
2024-06-25 21:40:15,73
2024-06-25 22:10:15,13
2024-06-25 22:40:15,96
2024-06-25 23:10:15,14
2024-06-25 23:40:15,28
2024-06-26 00:10:15,94
2024-06-26 00:40:15,44
2024-06-26 01:10:15,32
2024-06-26 01:40:15,24
2024-06-26 02:10:15,87
2024-06-26 02:40:15,22
2024-06-26 03:10:15,46
2024-06-26 03:40:15,67
2024-06-26 04:10:15,85
2024-06-26 04:40:15,53
2024-06-26 05:10:15,14
2024-06-26 05:40:15,66
2024-06-26 06:10:15,51
2024-06-26 06:40:15,25
2024-06-26 07:10:15,91
2024-06-26 07:40:15,52
2024-06-26 08:10:15,78
2024-06-26 08:40:15,78
2024-06-26 09:10:15,11
2024-06-26 09:40:15,80
2024-06-26 10:10:15,84
2024-06-26 10:40:15,71
2024-06-26 11:10:15,78
2024-06-26 11:40:15,91
2024-06-26 12:10:15,54
2024-06-26 12:40:15,61
2024-06-26 13:10:15,33
2024-06-26 13:40:15,32
2024-06-26 14:10:15,22
2024-06-26 14:40:15,73
2024-06-26 15:10:15,54
2024-06-26 15:40:15,5
2024-06-26 16:10:15,43
2024-06-26 16:40:15,89
2024-06-26 17:10:15,0
2024-06-26 17:40:15,67
2024-06-26 18:10:15,36
2024-06-26 18:40:15,82
2024-06-26 19:10:15,96
2024-06-26 19:40:15,59
2024-06-26 20:10:15,22
2024-06-26 20:40:15,97
2024-06-26 21:10:15,89
2024-06-26 21:40:15,91
2024-06-26 22:10:15,76
2024-06-26 22:40:15,27
2024-06-26 23:10:15,52
2024-06-26 23:40:15,29
2024-06-27 00:10:15,44
2024-06-27 00:40:15,38
2024-06-27 01:10:15,52
2024-06-27 01:40:15,99
2024-06-27 02:10:15,3
2024-06-27 02:40:15,6
2024-06-27 03:10:15,86
2024-06-27 03:40:15,31
2024-06-27 04:10:15,49
2024-06-27 04:40:15,37
2024-06-27 05:10:15,92
2024-06-27 05:40:15,7
2024-06-27 06:10:15,70
2024-06-27 06:40:15,11
2024-06-27 07:10:15,7
2024-06-27 07:40:15,16
2024-06-27 08:10:15,28
2024-06-27 08:40:15,98
2024-06-27 09:10:15,67
2024-06-27 09:40:15,66
2024-06-27 10:10:15,38
2024-06-27 10:40:15,97
2024-06-27 11:10:15,33
2024-06-27 11:40:15,50
2024-06-27 12:10:15,49
2024-06-27 12:40:15,88
2024-06-27 13:10:15,94
2024-06-27 13:40:15,6
2024-06-27 14:10:15,20
2024-06-27 14:40:15,12
2024-06-27 15:10:15,100
2024-06-27 15:40:15,50
2024-06-27 16:10:15,56
2024-06-27 16:40:15,33
2024-06-27 17:10:15,81
2024-06-27 17:40:15,84
2024-06-27 18:10:15,32
2024-06-27 18:40:15,55
2024-06-27 19:10:15,89
2024-06-27 19:40:15,68
2024-06-27 20:10:15,72
2024-06-27 20:40:15,15
2024-06-27 21:10:15,47
2024-06-27 21:40:15,52
2024-06-27 22:10:15,3
2024-06-27 22:40:15,84
2024-06-27 23:10:15,31
2024-06-27 23:40:15,74
2024-06-28 00:10:15,31
2024-06-28 00:40:15,88
2024-06-28 01:10:15,76
2024-06-28 01:40:15,46
2024-06-28 02:10:15,83
2024-06-28 02:40:15,33
2024-06-28 03:10:15,100
2024-06-28 03:40:15,65
2024-06-28 04:10:15,35
2024-06-28 04:40:15,47
2024-06-28 05:10:15,1
2024-06-28 05:40:15,18
2024-06-28 06:10:15,47
2024-06-28 06:40:15,26
2024-06-28 07:10:15,48
2024-06-28 07:40:15,32
2024-06-28 08:10:15,25
2024-06-28 08:40:15,32
2024-06-28 09:10:15,100
2024-06-28 09:40:15,28
2024-06-28 10:10:15,89
2024-06-28 10:40:15,12
2024-06-28 11:10:15,33
2024-06-28 11:40:15,70
2024-06-28 12:10:15,49
2024-06-28 12:40:15,13
2024-06-28 13:10:15,46
2024-06-28 13:40:15,16
2024-06-28 14:10:15,5
2024-06-28 14:40:15,74
2024-06-28 15:10:15,85
2024-06-28 15:40:15,17
2024-06-28 16:10:15,83
2024-06-28 16:40:15,6
2024-06-28 17:10:15,59
2024-06-28 17:40:15,42
2024-06-28 18:10:15,29
2024-06-28 18:40:15,18
2024-06-28 19:10:15,28
2024-06-28 19:40:15,79
2024-06-28 20:10:15,69
2024-06-28 20:40:15,20
2024-06-28 21:10:15,38
2024-06-28 21:40:15,83
2024-06-28 22:10:15,7
2024-06-28 22:40:15,3
2024-06-28 23:10:15,21
2024-06-28 23:40:15,44
2024-06-29 00:10:15,1
2024-06-29 00:40:15,19
2024-06-29 01:10:15,46
2024-06-29 01:40:15,16
2024-06-29 02:10:15,62
2024-06-29 02:40:15,3
2024-06-29 03:10:15,19
2024-06-29 03:40:15,76
2024-06-29 04:10:15,5
2024-06-29 04:40:15,63
2024-06-29 05:10:15,93
2024-06-29 05:40:15,29
2024-06-29 06:10:15,7
2024-06-29 06:40:15,8
2024-06-29 07:10:15,99
2024-06-29 07:40:15,19
2024-06-29 08:10:15,12
2024-06-29 08:40:15,34
2024-06-29 09:10:15,45
2024-06-29 09:40:15,25
2024-06-29 10:10:15,60
2024-06-29 10:40:15,8
2024-06-29 11:10:15,97
2024-06-29 11:40:15,55
2024-06-29 12:10:15,67
2024-06-29 12:40:15,45
2024-06-29 13:10:15,42
2024-06-29 13:40:15,84
2024-06-29 14:10:15,97
2024-06-29 14:40:15,79
2024-06-29 15:10:15,68
2024-06-29 15:40:15,51
2024-06-29 16:10:15,8
2024-06-29 16:40:15,8
2024-06-29 17:10:15,73
2024-06-29 17:40:15,67
2024-06-29 18:10:15,59
2024-06-29 18:40:15,56
2024-06-29 19:10:15,3
2024-06-29 19:40:15,49
2024-06-29 20:10:15,52
2024-06-29 20:40:15,82
2024-06-29 21:10:15,77
2024-06-29 21:40:15,44
2024-06-29 22:10:15,44
2024-06-29 22:40:15,39
2024-06-29 23:10:15,16
2024-06-29 23:40:15,54
2024-06-30 00:10:15,9
2024-06-30 00:40:15,2
2024-06-30 01:10:15,57
2024-06-30 01:40:15,96
2024-06-30 02:10:15,99
2024-06-30 02:40:15,68
